cas_number,chemical_formula,hill_sorted_formula,preferred_name,aliases,iupac_name,common_name,userid,dtstamp,inchi,class
-1001074,CHBr(OO)CHO,C2H2BrO3,CHBr(OO&middot;)CHO,"","",CHBr(OO&middot;)CHO,"{""Vadim Knyazev""}","{""2014-01-31 15:45:56.460569""}","",""
-1001310,C8H9O2,C8H9O2,"(4-methyl-phenyl),hydroperoxy-methyl radical","","","(4-methyl-phenyl),hydroperoxy-methyl radical","{""Vadim Knyazev""}","{""2014-05-27 15:47:09.008823""}","",""
-1001076,CHBrOCHO,C2H2BrO2,CHBrO(&middot;)CHO,"","",CHBrO(&middot;)CHO,"{""Vadim Knyazev""}","{""2014-01-31 15:48:37.709547""}","",""
-1001077,CBr(O)CH(O),C2HBrO2,CBr(O)CH(O),"","",CBr(O)CH(O),"{""Vadim Knyazev""}","{""2014-01-31 15:51:05.352111""}","",""
-1001311,C8H9O2,C8H9O2,"3-methyl,6-methylenehydroperoxy phenyl","","","3-methyl,6-methylenehydroperoxy phenyl","{""Vadim Knyazev""}","{""2014-05-27 15:47:17.073274""}","",""
-1001079,HOOCBrCHO,C2H2BrO3,HOOC(&middot;)Br-CHO,"","",HOOC(&middot;)Br-CHO,"{""Vadim Knyazev""}","{""2014-01-31 15:57:10.988161""}","",""
-1001080,BrCH2C(O)O,C2H2BrO2,CH2BrC(O)O&middot;,"","",CH2BrC(O)O&middot;,"{""Vadim Knyazev""}","{""2014-01-31 16:04:34.399302""}","",""
-1001081,CHBrCBrO,C2HBr2O,&middot;CHBrCBrO,"","",&middot;CHBrCBrO,"{""Vadim Knyazev""}","{""2014-01-31 16:12:43.227763""}","",""
-1001082,CHBrOCOBr,C2HBr2O2,CHBrO(&middot;)COBr,"","",CHBrO(&middot;)COBr,"{""Vadim Knyazev""}","{""2014-01-31 16:15:26.78991""}","",""
-1001312,C8H9O2,C8H9O2,"3-methyl, 6,6-methyleneperoxy -2,4-cyclohexadienyl radical","","","3-methyl, 6,6-methyleneperoxy -2,4-cyclohexadienyl radical","{""Vadim Knyazev""}","{""2014-05-27 15:47:26.529004""}","",""
-1001313,C8H9O2,C8H9O2,(2-methyl-phenyl)-methyl peroxy radical,"","",(2-methyl-phenyl)-methyl peroxy radical,"{""Vadim Knyazev""}","{""2014-05-27 16:00:34.393135""}","",""
-1001314,C8H9O,C8H9O,(2-methyl-phenyl)-methoxy radical,"","",(2-methyl-phenyl)-methoxy radical,"{""Vadim Knyazev""}","{""2014-05-27 16:00:44.720577""}","",""
-1001315,C8H9O2,C8H9O2,"(2-methyl-phenyl),hydroperoxy-methyl radical","","","(2-methyl-phenyl),hydroperoxy-methyl radical","{""Vadim Knyazev""}","{""2014-05-27 16:00:54.512694""}","",""
-1001316,C8H9O2,C8H9O2,"1-methylenehydroperoxy, 3-methyl phenyl","","","1-methylenehydroperoxy, 3-methyl phenyl","{""Vadim Knyazev""}","{""2014-05-27 16:01:02.856999""}","",""
-1001086,C3H8O4P,C3H8O4P,CH3-O-P(O)(CH3)-O-CH2O&middot;,"","",CH3-O-P(O)(CH3)-O-CH2O&middot;,"{""Vadim Knyazev""}","{""2014-01-31 16:49:13.993989""}","",""
-1001085,C3H8O4P,C3H8O4P,CH3-O-P(O)(-O-CH3)-CH2O&middot;,"","",CH3-O-P(O)(-O-CH3)-CH2O&middot;,"{""Vadim Knyazev""}","{""2014-01-31 16:49:24.768864""}","",""
-1001084,C3H8O3P,C3H8O3P,CH3-O-P(O)(CH3)-O-C(&middot;)H2,"","",CH3-O-P(O)(CH3)-O-C(&middot;)H2,"{""Vadim Knyazev""}","{""2014-01-31 16:51:47.282539""}","",""
-1001083,C3H8O3P,C3H8O3P,CH3-O-P(O)(-O-CH3)-C(&middot;)H2,"","",CH3-O-P(O)(-O-CH3)-C(&middot;)H2,"{""Vadim Knyazev""}","{""2014-01-31 16:51:56.227258""}","",""
